N,P,K,temperature,rainfall,area,yield
57.454011884736246,61.526542810897446,137.8135688996906,29.982482175159717,179.6513908155644,27.601028485679453,169.52761029042261
115.07143064099162,58.33455021037848,161.36946546636074,27.84269638038262,84.47727242103325,41.811786149474244,188.4104763291993
93.1993941811405,22.051365264514857,57.5889007705748,22.204613148988237,224.47891267096298,7.129356581983773,34.25902353110604
79.86584841970367,47.299826210092505,128.72607892532977,15.161608944742763,172.6232478138483,7.359365320407953,27.59452294161349
35.601864044243655,50.41564950286856,118.63173679731226,27.40598054752035,81.44077671139085,28.28409965363707,109.23673748040196
35.59945203362027,51.90582247175204,168.2377715897715,22.140649714056078,242.46761149624137,47.37255401456017,156.16605114596803
25.808361216819947,66.41378953818659,182.1565414914395,33.36520751776338,153.6730926670641,21.334890160166957,74.10761464783586
106.61761457749351,62.68820373815028,12.309786580703493,15.598656631762088,64.579690374331,17.020162912480053,49.94882277715568
80.11150117432088,68.63240742347557,138.0637846211706,29.62069528264477,175.36658088301346,30.727776836696407,145.40447528537098
90.80725777960456,81.19066092337026,19.848801832748514,38.53685593765164,100.63978140256205,46.591981426706525,195.0836708327392
22.058449429580243,85.03885909728749,114.28314636469763,19.36023167778749,210.7386903754605,42.00946380938656,132.08649884798953
116.99098521619943,77.44984609811955,64.65021851829886,26.791237268764885,213.56441471323814,49.778696925927775,187.70500730690634
103.24426408004217,96.44189567639478,68.28755390920682,17.285549795428455,245.78947117093236,2.1058605769164775,5.760694324085364
41.23391106782762,21.45860661410893,77.06211565594775,30.642047806533817,150.37390620490075,6.530049090925349,14.219605686758939
38.18249672071006,35.662238854683686,128.04556531942592,28.763292014905637,140.99137594554742,30.863920404964478,91.02972526745125
38.34045098534338,20.605029998251368,73.46949347706615,25.18413810532081,200.69512108929612,41.208245527358635,95.70072862405307
50.42422429595377,71.79797713236823,149.21281961215328,28.03442553684353,76.49413126838532,14.97697277303156,35.19644177930371
72.4756431632238,91.84244391599896,86.86020325903525,37.41436646172525,159.38310275862483,12.72134331367672,84.88208849005674
63.194501864211574,39.47858372610394,22.987108058892137,19.907357557776677,159.2495200261702,39.56181416967884,73.18222009551884
49.12291401980419,94.16276358370453,158.9143700719804,15.564112792633681,67.89462456207744,3.7627108388083474,14.672049307541338
